document,line_number,character,dialogue
a new hope,187,OWEN,Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.
a new hope,188,OWEN,"You must understand I need you here, Luke."
a new hope,189,LUKE,But it's a whole 'nother year.
a new hope,190,OWEN,"Look, it's only one more season."
a new hope,191,LUKE,"Yeah, that's what you said last year when Biggs and Tank left."
a new hope,192,AUNT BERU,Where are you going?
a new hope,193,LUKE,It looks like I'm going nowhere.  I have to finish cleaning those droids.
a new hope,194,AUNT BERU,"Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him."
a new hope,195,OWEN,I'll make it up to him next year.  I promise.
a new hope,196,AUNT BERU,"Luke's just not a farmer, Owen.  He has too much of his father in him."
a new hope,197,OWEN,That's what I'm afraid of.
a new hope,198,LUKE,What are you doing hiding there?
a new hope,199,THREEPIO,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission."
a new hope,200,LUKE,"Oh, no!"
a new hope,201,THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times.
a new hope,202,LUKE,How could I be so stupid?  He's nowhere in sight.  Blast it!
a new hope,203,THREEPIO,"Pardon me, sir, but couldn't we go after him?"
a new hope,204,LUKE,It's too dangerous with all the Sand People around.  We'll have to wait until morning.
a new hope,205,OWEN,"Luke, I'm shutting the power down for the night."
a new hope,206,LUKE,"All right, I'll be there in a few minutes.  Boy, am I gonna get it."
a new hope,207,LUKE,You know that little droid is going to cause me a lot of trouble.
a new hope,208,THREEPIO,"Oh, he excels at that, sir."
a new hope,209,OWEN,Luke?  Luke?  Luke?  Where could he be loafing now!
a new hope,210,OWEN,Have you seen Luke this morning?
a new hope,211,AUNT BERU,"He said he had some things to do before he started today, so he left early."
a new hope,212,OWEN,Uh?  Did he take those two new droids with him?
a new hope,213,AUNT BERU,I think so.
